RESOLUTION,TIME
100,1.003
150,0.558
200,0.673
250,0.843
300,1.149
350,1.294
400,1.572
450,1.96
500,2.205
550,2.389
600,2.825
650,3.228
700,3.664
750,4.126
800,4.576
850,5.112
900,5.719
950,6.336
1000,6.972
1050,7.554
1100,8.352
1150,9.147
1200,9.798
1250,10.741
1300,11.347
1350,12.298
1400,13.244
1450,14.113
1500,15.118
1550,16.056
1600,17.053
1650,18.106
1700,19.457
1750,20.537
1800,21.513
1850,22.932
1900,24.008
1950,25.278
