RESOLUTION,TIME
100,1.006
150,0.548
200,0.647
250,0.823
300,1.003
350,1.221
400,1.83
450,1.698
500,1.985
550,2.333
600,2.682
650,3.159
700,3.961
750,4.472
800,4.799
850,5.332
900,5.592
950,6.354
1000,7.197
1050,7.886
1100,8.509
1150,9.662
1200,10.592
1250,11.461
1300,12.339
1350,13.434
1400,15.255
1450,15.26
1500,16.164
1550,16.852
1600,17.454
1650,17.91
1700,20.723
1750,21.354
1800,23.053
1850,22.552
1900,23.593
1950,24.631
