RESOLUTION,TIME
100,0.901
150,0.471
200,0.681
250,1.027
300,1.62
350,1.781
400,2.348
450,3.267
500,3.747
550,4.188
600,4.579
650,5.384
700,6.228
750,7.073
800,7.822
850,9.074
900,9.911
950,11.262
1000,12.16
1050,13.183
1100,14.673
1150,15.989
1200,17.522
1250,19.024
1300,20.386
1350,22.16
1400,24.1
1450,25.413
1500,26.953
1550,29.141
1600,31.185
1650,32.763
1700,34.298
1750,36.209
1800,40.741
1850,41.343
1900,46.951
1950,49.318
