RESOLUTION,TIME
100,0.488
150,0.591
200,0.748
250,1.146
300,1.321
350,1.342
400,1.6
450,1.965
500,2.324
550,2.75
600,3.139
650,3.603
700,4.122
750,5.158
800,5.917
850,6.374
900,6.988
950,7.305
1000,9.49
1050,9.193
1100,9.576
1150,10.589
1200,11.379
1250,12.396
1300,13.273
1350,14.193
1400,15.201
1450,16.457
1500,17.445
1550,20.843
1600,21.363
1650,21.583
1700,23.868
1750,24.008
1800,24.897
1850,26.303
1900,28.378
1950,30.554
