RESOLUTION,TIME
100,0.942
150,1.837
200,3.203
250,5.211
300,7.05
350,8.71
400,11.437
450,14.927
500,20.268
550,21.694
600,27.643
650,30.334
700,35.609
750,40.292
800,46.17
850,51.481
900,58.154
950,64.734
1000,74.063
1050,80.684
1100,88.237
1150,96.4
1200,105.634
1250,118.922
1300,131.045
1350,138.2
1400,144.015
1450,157.562
1500,165.85
1550,176.703
1600,188.421
1650,201.6
1700,213.929
1750,225.916
1800,240.557
1850,253.444
1900,267.738
1950,282.88
