RESOLUTION,TIME
100,1.029
150,0.563
200,0.682
250,0.835
300,1.046
350,1.245
400,1.519
450,1.827
500,2.1
550,2.435
600,2.855
650,3.768
700,3.698
750,4.205
800,4.758
850,5.285
900,5.942
950,6.833
1000,7.217
1050,7.844
1100,8.566
1150,9.403
1200,10.191
1250,10.829
1300,12.477
1350,12.855
1400,14.551
1450,14.551
1500,15.871
1550,17.725
1600,19.901
1650,19.476
1700,20.202
1750,22.204
1800,22.467
1850,25.392
1900,25.426
1950,26.265
