RESOLUTION,TIME
100,1.11
150,0.641
200,0.71
250,0.903
300,0.998
350,1.185
400,1.43
450,1.719
500,2.007
550,2.32
600,2.709
650,3.181
700,3.515
750,3.966
800,4.518
850,4.987
900,5.736
950,6.097
1000,6.737
1050,7.385
1100,8.15
1150,8.801
1200,9.469
1250,10.187
1300,11.053
1350,11.818
1400,12.82
1450,13.53
1500,14.575
1550,15.525
1600,16.601
1650,17.847
1700,18.639
1750,19.858
1800,21.106
1850,22.135
1900,23.47
1950,24.531
