RESOLUTION,TIME
100,1.01
150,0.603
200,0.735
250,0.891
300,1.145
350,1.354
400,1.639
450,1.981
500,2.322
550,2.679
600,3.134
650,3.658
700,4.103
750,4.653
800,5.287
850,5.902
900,6.48
950,7.1
1000,7.871
1050,8.659
1100,9.413
1150,10.172
1200,11.177
1250,12.048
1300,13.047
1350,14.421
1400,15.158
1450,15.896
1500,17.398
1550,18.103
1600,19.494
1650,20.746
1700,21.883
1750,23.373
1800,24.32
1850,25.594
1900,26.986
1950,30.524
