RESOLUTION,TIME
100,4.358
150,8.362
200,7.552
250,14.272
300,10.464
350,17.563
400,14.611
450,15.709
500,18.842
550,19.956
600,21.445
650,24.529
700,28.777
750,29.432
800,32.77
850,33.935
900,35.567
950,39.666
1000,40.72
1050,42.712
1100,45.888
1150,49.356
1200,51.722
1250,52.352
1300,52.954
1350,56.204
1400,59.879
1450,65.186
1500,65.832
1550,64.289
1600,69.715
1650,71.9
1700,78.611
1750,79.001
1800,79.587
1850,84.422
1900,83.828
1950,82.565
