RESOLUTION,TIME
100,0.902
150,2.399
200,3.4
250,5.449
300,7.282
350,9.143
400,11.542
450,14.68
500,18.511
550,21.887
600,25.972
650,31.002
700,35.482
750,40.624
800,46.722
850,52.656
900,58.408
950,65.735
1000,73.554
1050,80.862
1100,88.421
1150,96.38
1200,105.095
1250,118.4
1300,123.327
1350,133.539
1400,143.429
1450,154.527
1500,165.784
1550,176.96
1600,187.676
1650,200.985
1700,214.681
1750,226.385
1800,240.691
1850,254.993
1900,272.064
1950,283.8
