RESOLUTION,TIME
100,0.841
150,0.468
200,0.675
250,0.946
300,1.306
350,1.695
400,2.131
450,2.679
500,3.186
550,3.869
600,4.538
650,5.313
700,5.996
750,6.925
800,7.692
850,8.738
900,9.88
950,10.904
1000,12.14
1050,13.155
1100,14.522
1150,15.998
1200,17.588
1250,18.677
1300,20.679
1350,21.948
1400,23.465
1450,25.244
1500,27.838
1550,32.456
1600,31.103
1650,33.301
1700,35.238
1750,37.578
1800,38.512
1850,41.922
1900,43.442
1950,46.061
