RESOLUTION,TIME
100,1.135
150,0.623
200,0.818
250,0.953
300,1.219
350,1.697
400,1.901
450,2.24
500,2.494
550,2.901
600,3.359
650,3.893
700,4.738
750,5.006
800,5.523
850,6.265
900,6.863
950,7.714
1000,8.54
1050,9.287
1100,10.234
1150,11.06
1200,11.973
1250,13.118
1300,14.114
1350,15.29
1400,16.094
1450,17.419
1500,18.799
1550,19.934
1600,21.126
1650,22.499
1700,24.138
1750,25.273
1800,26.786
1850,28.105
1900,30.103
1950,31.211
