RESOLUTION,TIME
100,5.281
150,7.051
200,5.723
250,9.654
300,9.137
350,11.27
400,12.105
450,14.195
500,16.567
550,17.652
600,19.729
650,21.811
700,26.173
750,26.301
800,28.785
850,30.915
900,31.351
950,37.05
1000,37.7
1050,38.195
1100,40.4
1150,43.191
1200,46.926
1250,49.274
1300,48.104
1350,52.007
1400,54.098
1450,56.359
1500,57.969
1550,56.809
1600,62.855
1650,65.73
1700,73.73
1750,70.109
1800,71.613
1850,75.636
1900,76.202
1950,77.097
