RESOLUTION,TIME
100,0.93
150,1.725
200,3.227
250,4.737
300,7.374
350,9.651
400,12.34
450,16.582
500,21.283
550,23.58
600,26.402
650,31.461
700,35.757
750,40.852
800,48.833
850,53.362
900,59.103
950,66.151
1000,73.712
1050,82.771
1100,89.121
1150,97.466
1200,106.855
1250,119.382
1300,124.97
1350,135.074
1400,145.398
1450,156.636
1500,168.66
1550,178.206
1600,190.699
1650,205.365
1700,216.108
1750,228.073
1800,243.425
1850,255.648
1900,270.48
1950,285.838
