RESOLUTION,ERROR,ERROR RATE
1700,0,0.0
900,2,0.0
450,0,0.0
650,0,0.0
1850,1,0.0
1500,0,0.0
1100,0,0.0
250,1,0.002
1300,0,0.0
1950,0,0.0
750,0,0.0
1400,0,0.0
800,0,0.0
1600,0,0.0
550,0,0.0
150,3,0.013
1200,0,0.0
1000,0,0.0
350,0,0.0
1150,0,0.0
200,0,0.0
1350,0,0.0
1750,0,0.0
950,3,0.0
400,0,0.0
600,0,0.0
1800,0,0.0
1550,0,0.0
100,0,0.0
1250,0,0.0
1050,0,0.0
300,0,0.0
1900,1,0.0
700,0,0.0
1450,0,0.0
850,1,0.0
1650,0,0.0
500,0,0.0
