RESOLUTION,TIME
100,4.536
150,6.898
200,5.438
250,8.028
300,6.937
350,9.333
400,7.093
450,8.534
500,11.13
550,10.677
600,10.236
650,9.934
700,13.37
750,12.516
800,11.449
850,12.7
900,11.204
950,14.304
1000,12.796
1050,11.464
1100,14.424
1150,17.141
1200,17.188
1250,17.133
1300,14.557
1350,17.652
1400,18.595
1450,19.24
1500,18.22
1550,15.347
1600,17.634
1650,20.091
1700,20.321
1750,20.155
1800,17.918
1850,21.513
1900,21.686
1950,18.669
